2104,1478,760,2838
2128,1524,780,2864
2114,1502,746,2884
2122,1526,752,2872
2106,1492,764,2824
2140,1498,756,2882
2098,1498,740,2886
2068,1522,762,2864
2130,1512,778,2842
2134,1482,736,2842
2114,1432,782,2836
2084,1514,740,2874
2102,1504,762,2924
2106,1516,770,2910
2110,1530,776,2882
2110,1496,760,2866
2104,1510,730,2910
2130,1528,758,2898
2126,1528,774,2874
2106,1494,750,2880
2090,1510,762,2878
2124,1502,762,2866
2142,1546,764,2884
2146,1512,760,2892
2100,1508,750,2824
2092,1508,750,2862
2118,1500,736,2878
2156,1492,738,2854
2142,1484,746,2872
2078,1514,768,2890
2116,1486,740,2884
2132,1512,742,2874
2126,1512,766,2818
2076,1492,766,2872
2108,1518,762,2876
2090,1500,772,2898
2136,1522,744,2864
2122,1488,720,2886
2098,1466,764,2854
2060,1498,766,2876
2146,1510,730,2826
2196,1488,746,2870
2126,1492,780,2876
2096,1502,742,2874
2138,1542,738,2902
2130,1552,708,2878
2122,1512,768,2880
2090,1504,750,2898
2114,1518,740,2846
2108,1498,762,2902
2128,1492,790,2842
2118,1510,750,2880
2130,1486,748,2894
2072,1518,730,2882
2114,1516,718,2898
2144,1508,766,2914
2126,1498,722,2826
2076,1538,764,2862
2110,1524,728,2844
2170,1486,782,2864
2134,1486,786,2826
2102,1542,742,2844
2132,1522,754,2878
2124,1526,774,2896
2100,1516,744,2890
2106,1516,744,2886
2122,1486,780,2870
2114,1514,748,2874
2144,1538,772,2884
2178,1512,754,2852
2100,1494,732,2810
2066,1506,750,2840
2114,1516,770,2830
2158,1510,760,2878
2128,1490,766,2816
2080,1520,752,2882
2124,1530,756,2878
2130,1512,752,2928
2102,1494,746,2830
2110,1516,792,2876
2134,1520,764,2880
2076,1504,754,2884
2122,1504,758,2868
2114,1522,754,2840
2114,1492,794,2884
2094,1508,794,2868
2120,1522,768,2864
2144,1498,742,2912
2128,1490,790,2834
2072,1486,758,2840
2150,1490,764,2892
2130,1504,744,2860
2146,1504,768,2886
2100,1504,776,2860
2102,1510,732,2892
2098,1500,748,2880
2098,1488,748,2866
2130,1502,734,2836
2128,1470,772,2846
2074,1544,750,2872
2110,1546,756,2892
2104,1532,734,2830
2106,1534,802,2872
2112,1504,752,2878
2124,1530,758,2824
2104,1514,738,2870
2128,1506,746,2800
2120,1478,776,2870
2120,1532,766,2850
2108,1498,752,2850
2122,1538,748,2850
2092,1496,764,2902
2126,1460,756,2868
2120,1484,762,2848
2134,1526,734,2862
2104,1502,770,2874
2086,1528,780,2824
2086,1520,788,2850
2106,1522,738,2878
2152,1488,774,2866
2160,1514,776,2840
2114,1540,774,2870
2108,1530,762,2902
2116,1524,794,2856
2154,1504,776,2826
2106,1520,776,2874
2112,1510,772,2842
2130,1530,760,2888
2128,1478,722,2880
2122,1528,776,2862
2152,1488,784,2834
2108,1526,738,2904
2108,1582,768,2916
2134,1498,764,2864
2124,1488,784,2860
2076,1518,730,2844
2102,1512,782,2896
2102,1518,774,2884
2120,1500,790,2874
2068,1500,772,2880
2116,1512,754,2910
2086,1520,778,2862
2146,1514,762,2868
2146,1486,788,2840
2112,1480,766,2868
2108,1506,740,2864
2104,1528,756,2836
2146,1504,746,2848
2148,1460,744,2824
2108,1516,756,2838
2094,1542,766,2884
2114,1520,760,2856
2116,1504,782,2822
2104,1534,758,2876
2124,1530,780,2904
2090,1516,752,2860
2128,1500,774,2854
2088,1490,780,2852
2136,1478,762,2878
2126,1542,706,2868
2118,1516,762,2864
2160,1514,776,2868
2114,1472,760,2824
2062,1508,772,2862
2098,1544,796,2834
2082,1504,750,2878
2084,1522,756,2894
2092,1502,736,2882
2090,1534,762,2864
2108,1518,756,2900
2164,1510,740,2836
2122,1516,746,2872
2134,1526,740,2880
2114,1502,782,2872
2092,1486,742,2858
